单词,等价词,汉语解释
perfection,faultlessness,完美
perfunctorily,superficially,敷衍地
perfunctory,"brief, superficial",敷衍了事的
peripheral,"extraneous, incidental",外围次要的
permeated,imbued,充满弥漫的
perpetuate,sustain,使永存，使持续
persevere,persist,坚持不懈
persist,persevere,坚持，持续
persistence,"continuity, stability, survival",坚持，持续存在
persistent,relentless,持续不断的，执着的
personify,epitomize,拟人化，体现
perspicacity,discernment,敏锐洞察力
perspicuity,intelligibility,清晰易懂
perturbation,disruption,扰动，不安
pervasive,ubiquitous,普遍存在的，蔓延的
pervasiveness,ubiquity,无处不在
phoniness,hypocrisy,虚伪，造作
piecemeal,fragmentary,零碎的，断断续续的
pilferage,appropriation,小偷小摸，盗窃
pillory,vilify,当众抨击，公开嘲弄
pithiness,concision,简练精辟
placate,entice,平息，安抚
plastic,"adaptable, pliable",具可塑性的，灵活的
platitude,bromide,陈词滥调
plebeian,humble,平民的，粗俗的
plethora,profusion,过量，过剩
pliable,"malleable, plastic",易弯曲的，顺从的
plucky,courageous,勇敢果断的
pointless,impracticable,无意义的
pointlessness,futility,毫无意义
poisonous,toxic,有毒的
polarizing,controversial,两极分化的
polymathic,encyclopedic,博学的
portentous,ominous,凶兆的，自命不凡的
pragmatic,utilitarian,务实的
praiseworthy,estimable,值得称赞的
precarious,"risky, uncertain",不稳定的，危险的
precede,anticipate,先于…发生
precedent,antecedent,先例
precise,circumspect,精确严谨的
preclude,frustrate,排除，妨碍
precocious,early,早熟的
precociousness,,早熟
precursor,antecedent,先驱，前身
predation,rapacity,捕食，掠夺
predilection,partiality,偏好，嗜好
prejudicial,tendentious,有害的，有偏见的
preoccupation,obsession,全神贯注，心事
prescient,foresighted,有预知能力的
presuppose,acknowledge,预先假定
preternatural,prodigious,超乎寻常的
prevalent,ubiquitous,盛行的，普遍的
prevarication,mendacity,支吾其词，说谎
pristine,"undisturbed, untouched",原始纯净的
privileged,favored,享有特权的
probity,integrity,正直廉洁
proclivity,disposition,倾向，癖好
prodigious,"colossal, preternatural",庞大的，惊人的
profligacy,immoderation,挥霍，放荡
profound,great,深奥深刻的
profuse,unstinting,极丰富的，充沛的
profusion,plethora,丰富，大量
progeny,byproduct,后代，派生事物
project,extrapolate,预测，外推
projection,extrapolation,推测，规划
prominence,salience,显著，突出
promising,"alluring, viable",有希望的，有前途的
promoter,champion,倡导者，促进者
pronounced,striking,显著明确的
propagate,"spread, transmit",繁殖，传播
propitious,favorable,吉利的，有利的
proponent,advocate,支持者，拥护者
propose,broach,提出，建议
prosaic,"commonplace, pedestrian, quotidian",单调乏味的，平淡的
proscribe,"disallow, enjoin",禁止，排斥
proscriptive,exacting,限制性的，严格的
protest,remonstrate,抗议，反对
protract,deadlock,延长，拖延
provide,furnish,提供
provisional,conditional,临时的，暂定的
provocative,controversial,挑衅煽动的，激起争论的
prudent,sound,审慎的
pugnaciously,irascibly,好斗地
pugnacity,belligerence,好斗，好勇斗狠
punctilious,exacting,一丝不苟的
pure,unalloyed,纯粹的
purveyor,supplier,供应商，传播者
qualification,nuancing,限制，修饰条件
querulous,peevish,抱怨发牢骚的
question,distrust,质疑
quiescence,calm,静止，沉寂
quirky,unconventional,古怪独特的
quixotic,unrealistic,不切实际的，狂想的
quotidian,"prosaic, workaday",平凡日常的
rally behind,coalesce around,团结支持
rancor,acrimony,深仇积怨
random,"arbitrary, miscellaneous, unpredictable",随意的，随机的
ransack,scour,洗劫，彻底搜查
rant,harangue,咆哮，痛斥
rapacity,"exaction, predation",贪婪，掠夺
rationalize,justify,为…辩解，使合理化
rebuff,spurn,生硬回绝
rebuke,reprimand,指责，严责
recalcitrant,"incorrigible, intractable, restive",顽抗不服从的
recent,novel,近来的
reclusive,solitary,隐居独处的
recognizable,familiar,可辨认的
recognize,make out,认出，认可
refreshing,invigorating,使人清爽的，新颖的
regard,admiration,尊重，关注
regular,consistent,有规律的，常规的
rein in,manacle,勒紧缰绳，严格控制
reinforce,"buttress, complement",加强，加固
relative,contingent,相对的，依…而定的
relentless,"implacable, persistent",持续不懈的，无情的
relieve,mitigate,缓解，减轻
remonstrate,"expostulate, protest",抗议，劝诫
render,reproduce,呈现，致使
renounce,disavow,声明放弃
replace,supplant,取代，替换
reprehend,decry,斥责，指责
reprimand,rebuke,训斥，谴责
reproduce,render,复制，再现
repudiation,abjuration,否认，拒斥
requiem,elegy,安魂曲，挽歌
requisite,ineluctable,必需的，必备条件
reservation,doubt,保留意见，犹豫
resolution,determination,决心，决议
resolve,determination,决心，决定
respected,venerable,受尊敬的
respite,antidote,暂歇，缓和
restive,recalcitrant,焦躁不安的，难驾驭的
restraint,moderation,克制，约束
result,consequence,结果
resurrect,revivify,复活，复兴
reticent,taciturn,沉默寡言的
retrograde,outmoded,倒退退化的
revealing,diagnostic,揭示性的，发人深省的
reversible,impermanent,可逆的
revision,modification,修订，修改
revivify,resurrect,使复活，使振奋
rigorous,faithful,严谨严密的
rise above,transcend,超越，不受影响
risky,"precarious, speculative",有风险的
robust,healthy,强健的，稳健的
romanticization,idealization,浪漫化
rudimentary,unsophisticated,基本的，初级的
rustic,bucolic,乡村田园的
saccharine,"cloying, sentimental",过分甜蜜的，矫情的
sacrosanct,inviolable,神圣不可侵犯的
sagacious,insightful,睿智聪颖的
salience,prominence,显著，重要性
salient,"evident, palpable",显著的，突出的
sap,undermine,逐渐削弱
scandalous,unseemly,令人震惊的，丑闻的
scant,little,不足的，缺乏的
scarce,inadequate,匮乏紧缺的
scarcely,hardly,几乎不
scarcity,want,缺乏，匮乏
scattered,diffuse,分散的
scolding,admonishment,斥责，责骂
scorn,"deride, disdain, disparage",蔑视，鄙视
scornful,dismissive,轻蔑的
scour,ransack,彻底搜寻
scrupulous,meticulous,严谨审慎的，恪守道德的
sectarian,partisan,宗派主义的，狭隘的
seed,germ,种子，萌芽
segment,partition,段落，分割
selective,discerning,有选择性的
self-interest,opportunism,自私自利
sensational,extravagant,轰动的，耸人听闻的
sensible,judicious,明智理智的
sensitive,discerning,敏感的
sentimental,saccharine,多愁善感的
separate,,分离，分开
sequester,warehouse,使隔离，隐退
serendipitous,fortuitous,偶然巧合的
serviceable,functional,耐用的，管用的
settled,assured,已确定的，安定的
shameless,blatant,不知羞耻的
shed,abandon,摆脱，脱落
shelve,discard,搁置，搁起
shirk,neglect,逃避，推卸
shortage,paucity,缺少，不足
shrill,strident,尖锐刺耳的
sidestep,avoid,回避，躲避
significant,"considerable, important, substantial",重大的，显著的
simple,ingenuous,简单的，天真的
simplicity,intelligibility,简单，朴实
simplistic,narrow,过分简单化的
sincerity,earnestness,真诚
singular,anomalous,单一的，非凡特异的
sizable,substantial,相当大的
skeptical,dubious,怀疑的
slam,vilify,猛批，猛击
slanted,tendentious,有倾向偏见的
slight,"marginal, modest, neglect",微小的，轻视
smart,clever,聪明的，敏捷的
social,gregarious,社交的，群居的
soft,malleable,柔软的，温和的
solid,substantial,稳固结实的
solidify,harden,巩固，凝固
solitary,reclusive,孤独的，独居的
somnolence,lethargy,瞌睡，嗜睡
somnolent,soporific,催眠的，昏睡的
soporific,somnolent,催眠的，令人昏昏欲睡的
sound,prudent,可靠合理的，健全的
soundness,"substantiality, validity",健全，可靠性
spare,laconic,简朴省减的，备用的
specious,"deceptive, fallacious, unfounded",似是而非的，虚假的
speculative,"conjectural, risky",推测性的，投机的
splendor,sumptuousness,壮丽，辉煌
sporadic,uncoordinated,偶发的，零星的
spread,propagate,传播，散布
spurn,rebuff,蔑视拒绝
stability,persistence,稳定性
stable,"abiding, static, steady",稳定的
staid,unadventurous,古板沉稳的
startling,surprising,令人吃惊的
stasis,inertia,停滞，静止
static,"immutable, invariant, stable, unvarying",静态不变的
stature,eminence,威望，声誉
steady,stable,稳定的
stem,derive,源自，遏制
stifle,throttle,扼杀，抑制
stilted,wooden,呆板生硬的
stinging,caustic,尖酸刺痛的
stinting,frugal,吝啬的，克扣的
straightforward,"linear, unproblematic",坦率的，易懂直接的
stratified,differentiated,分阶层的，分层的
strengthen,amplify,增强，巩固
strident,shrill,尖锐刺耳的
striking,"dramatic, pronounced",显著引人注目的
stringent,exacting,严格严厉的
strip,divest,剥夺，除去
stunning,astounding,令人震惊的，极好的
stymie,confound,阻碍，妨碍
subconscious,unacknowledged,潜意识的
subsidiary,ancillary,辅助的，次要的
substantial,"significant, sizable, solid",大量的，实质的
substantiality,soundness,实质性，稳固
subterfuge,chicanery,诡计，托词
subtle,nuanced,微妙细微的
subversion,violation,颠覆
subversive,iconoclastic,颠覆性的
sufficiency,efficacy,充足
suitable,appropriate,合适的
sumptuousness,splendor,奢华，华丽
sunder,disentangle,割裂，分开
superabundant,copious,极丰富的，过剩的
supercilious,contemptuous,傲慢目中无人的
superficial,perfunctory,肤浅表面的
superficially,perfunctorily,表面上地
superfluous,expendable,多余过剩的
supplant,"displace, replace, trump",取代，替代
supplement,augment,补充，增补
supplication,entreaty,哀求，祈求
supplier,purveyor,供应者
support,abet,支持
suppress,censor,镇压，抑制
surfeit,excess,过量，过剩
surpass,outstrip,胜过，超越
surprising,startling,令人惊讶的
surrender,cede,投降，放弃
survival,persistence,存活，幸存
susceptibility,vulnerability,易受影响性，脆弱性
susceptible,affected,易受影响的
sustain,"buoy, perpetuate",维持，支撑
swill,guzzle,狂饮，暴饮
sybaritic,hedonistic,贪图享乐的
sycophant,adulator,谄媚阿谀者
sympathetic,well-disposed,赞同支持的，同情的
synthesis,fusion,综合，合成
taciturn,reticent,沉默寡言的
tactless,impolitic,不圆通笨拙的
talent,genius,天赋，才能
tangent,digression,离题
tantamount,commensurate,等同于…的
tedious,tiresome,枯燥乏味的
temper,moderate,缓和，调节
temporary,transitory,暂时的
tenable,feasible,站得住脚的
tenacity,doggedness,坚韧执着
tendentious,"contentious, prejudicial, slanted",有偏见的，有倾向性的
tension,discord,紧张，张力
tenuous,"improbable, loose, uncertain",脆弱单薄的
testify,evince,证实，证明
theatrical,histrionic,戏剧化的，夸张的
theoretical,"abstract, conceptual",理论上的
thorough,exhaustive,彻底周密的
thrift,frugality,节俭
thrilled,elated,极其兴奋的
throttle,stifle,扼杀，压制
thwart,frustrate,阻挠，挫败
timorous,craven,胆怯怯懦的
tiresome,tedious,令人厌烦的
toothless,anodyne,无约束力的，无力的
topical,contemporary,当下的，话题性的
topicality,immediacy,时效性，时事性
toxic,poisonous,有毒的
tractable,complaisant,易驾驭温顺的
transcend,"go beyond, rise above",超越
transitional,mediating,过渡的
transitory,temporary,短暂的
transmit,propagate,传播，传送
transparent,"lucid, understandable",透明的，易懂的
trigger,cause,引发，触发
trite,overused,陈腐老套的
trivia,ephemera,琐事，细枝末节
trivial,"imperceptible, inessential, insignificant, minimal, unimportant",微不足道的
trivialization,deprecation,浅薄化，贬低
truculence,belligerence,好斗，凶猛
trump,supplant,胜过，击败
trusting,credulous,轻信的，信任的
turmoil,unrest,骚乱，混乱
ubiquitous,"pervasive, prevalent",无处不在的
ubiquity,"abundance, pervasiveness",普遍存在
unabated,undiminished,不减退的
unacknowledged,subconscious,未被承认的
unadulterated,unalloyed,纯粹不纯的
unadventurous,staid,保守不求冒险的
unalloyed,"pure, unadulterated",纯粹纯正的
unambiguous,explicit,毫不含糊清晰的
unattainable,"elusive, impossible",难以达到的
unavoidable,inevitable,不可避免的
uncertain,"contingent, precarious, tenuous, unforeseeable",不确定的
uncertainty,instability,不确定性
unconcern,apathy,漠不关心
unconstrained,free,不受约束的
unruly,intractable,难以管束的
unconventional,"quirky, unorthodox",打破常规非传统的
uncoordinated,sporadic,不协调杂乱的
undamaged,undiminished,未受损完好的
undergirded,dependent,受支持支撑的
undermine,"diminish, sap, upend",暗中破坏，削弱
underscore,highlight,强调
understandable,transparent,易理解的
undeveloped,embryonic,未开发的，初期的
undiminished,"unabated, undamaged",未衰减的
undistinguished,average,平庸不出彩的
undisturbed,pristine,未受打扰原样的
uneasy,apprehensive,不安焦躁的
unenviable,untenable,令人不悦难办的
unequal,inept,不平等的，不能胜任的
unexceptional,unobtrusive,普通平凡的
unexplored,downplay,未经探索的
unfavorable,conducive,不利不赞同的
unflagging,indefatigable,不知疲倦永不松懈的
unfocused,diffuse,不专一散漫的
unfolding,living,展现演变的
unforeseeable,uncertain,不可预见的
unfounded,specious,无根据的
ungracious,churlish,无礼傲慢的
unhelpful,useless,无益无助的
uniform,"exceptionless, homogeneous, homogenous",统一一致的
uniformity,homogeneity,一致性，同质
unimportant,trivial,不重要的
uninhabitable,untenable,不适宜居住的
unique,"characteristic, unprecedented",独一无二独特的
unknown,obscure,未知的，不出名的
unlikely,improbable,不太可能的
unobtrusive,unexceptional,不显眼的，低调的
unorthodox,"experimental, iconoclastic, unconventional",非正统异端的
unorthodoxy,iconoclasm,非正统，反传统
unprecedented,"obvious, unique",前所未有的
unpredictability,fickleness,不可预测性
unpredictable,"erratic, random",难以预测的
unproblematic,straightforward,顺畅无问题的
unrealistic,quixotic,不切实际的
unreceptive,inhospitable,不愿接受抗拒的
unremarkable,modest,平凡不起眼的
unremitting,continuous,坚持不懈不间断的
unreserved,wholehearted,毫无保留坦诚的
unrest,turmoil,动荡动乱
unscrupulous,dishonest,肆无忌惮不择手段的
unseemly,scandalous,不得体不体面的
unselfish,altruistic,无私大方的
unsophisticated,"naïve, rudimentary",天真纯朴简朴的
unstinting,"generous, profuse",慷慨无保留的
unsustainable,untenable,不可持续的
untenable,"flawed, indefensible, unenviable, uninhabitable, unsustainable",站不住脚的
untouched,pristine,未受破坏未触及的
unusual,anomalous,不寻常独特的
unvarying,static,始终如一不变的
unwarranted,dubious,无根据不合理的
unwelcome,annoying,不受欢迎的
unwise,misguided,不明智愚蠢的
upbeat,gratified,乐观向上的
upend,undermine,颠覆，倒置
uphold,vindicate,支持，赞同
usefulness,efficacy,有用性
useless,unhelpful,无用的
utilitarian,pragmatic,功利的，实用的
utilize,exploit,利用
vacillation,equivocation,犹豫不决，摇摆
valiant,intrepid,英勇勇敢的
validity,soundness,有效性，正确性
vapid,"bland, insipid",枯燥乏味的
variable,inconstant,易变的，多变的
variance,disparity,分歧，不一致
variety,diversity,多样性
vehicle,instrument,载体，手段
veiled,oblique,隐藏掩饰的
venal,crooked,贪污受贿的
venerable,respected,德高望重的
venerate,exalt,崇敬，尊崇
verify,corroborate,核实，证实
viable,promising,切实可行的
vile,base,可鄙卑劣的
vilify,"pillory, slam",诽谤，中伤
vindicate,uphold,澄清证明清白，证实
violation,subversion,违反，侵犯
virtuosity,mastery,精湛技艺
vital,indispensable,至关重要的
vitiate,nullify,损害，使失效
vitriol,obloquy,尖刻刻薄
vitriolic,acrimonious,尖酸刻薄的
volatility,capriciousness,易变性，波动性
voraciousness,insatiability,贪婪，求知若渴
vulnerability,susceptibility,脆弱性
wane,fade,衰落，减弱
want,"lack, scarcity",缺乏，匮乏
wanting,deficient,欠缺不足的
warehouse,sequester,储存，封存
weaken,dilute,削弱
weakness,inferiority,弱点，劣势
wearisome,onerous,使人疲倦厌烦的
well-disposed,sympathetic,有好感的，赞同的
wholehearted,unreserved,全心全意的
wide-ranging,"eclectic, extensive",广泛博大的
woo,court,争取，追求
wooden,stilted,呆板僵硬的
workaday,quotidian,平凡日常的
worsen,exacerbate,使恶化
wretchedness,abjection,悲惨，可怜
