id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
195,"In their quest for kinder cutting, physicians increasingly rely on endoscopic surgery, replacing large scalpels and clamps with cameras and _______ tools that snake into the body through tiny holes.",flexible,rigid,pliant,supple,enormous,precise,flexible,supple,flexible,supple
196,"The university’s once _______ department of economic history has lost prestige and transmogrified into a department of management and marketing.",respected,slighted,pretentious,gigantic,venerable,snubbed,respected,venerable,respected,venerable
197,"Travel writers have a special burden of forming _______ story—that is, one with a beginning, middle, and end—out of the unformed moments that make up the act of traveling.",a compelling,a coherent,an original,a serious,an orderly,an innovative,a coherent,an orderly,coherent,orderly
198,"As the biography makes plain, the scientist led _______ sort of life, rarely remaining in one place for long.",an enigmatic,an idiosyncratic,an itinerant,a cautious,a peripatetic,a circumspect,an itinerant,a peripatetic,itinerant,peripatetic
199,"There is a revelation on almost every page of this book, and the author’s prose is _______ in the best possible way: blunt, sweet, off-kilter, and often quite funny.",eloquent,austere,somber,awkward,solemn,ungainly,awkward,ungainly,awkward,ungainly
200,"The potential reduction in water lost from the proposed reservoir from evaporation is _______ inconsequential: even the minimum projected reduction would save enough water to furnish the needs of a Denver-sized municipality.",nearly,comparatively,scarcely,rarely,hardly,relatively,scarcely,hardly,scarcely,hardly
201,"_______ the notion that attention is a limited resource, scientists have found lots of evidence that drivers with cell phones drive slower and are more apt to miss important details than drivers who drive solely on the road.",Controverting,Buttressing,Questioning,Bolstering,Perpetuating,Refuting,Buttressing,Bolstering,buttress,bolster
202,"The author first accused the official of espionage in a 1981 book, and—though the case was far from _______, full of suppositions rather than compelling evidence—the accusation has been repeated relentlessly ever since.",unambitious,unconvincing,unassailable,implausible,coherent,airtight,unassailable,airtight,unassailable,airtight
203,"One big challenge with placebo responses is that they are _______: people given the same inert pill or potion may show wildly different reactions, and the effects can vary widely according to each person’s illness.",capricious,illusory,unpredictable,chimerical,marginal,ephemeral,capricious,unpredictable,capricious,unpredictable
204,"The Chicago journal known as Poetry has been the launching pad for many poets since its _______ in 1913; among them, T. S. Eliot, Gwendolyn Brooks, and John Ashbery.",extraction,foundation,partnership,employment,revival,inception,foundation,inception,foundation,inception
205,"Although most land snails are _______, the giant African snail is a notable exception; it can be 15 inches long and weigh 2 pounds.",gargantuan,juvenile,functional,diminutive,responsive,minuscule,diminutive,minuscule,diminutive,minuscule
206,"Origin, distribution, and habitat are included in the book for some but not all of the plants; offering this information for each species would have given readers a clearer appreciation of the differences between _______ and introduced species.",endemic,native,seasonal,rare,unusual,dominant,endemic,native,endemic,native
207,"Some have argued that naming scientific discoveries after the people who make them can _______ scientific progress, because the nomenclature lacks useful clarity, having no relationship to the underlying principles that govern nature.",hamper,abet,instigate,obscure,nullify,impede,hamper,impede,hamper,impede
208,"Each of the country’s 26 states and most of its more than 2,000 municipalities have their own police forces, _______ communication and making it difficult to establish a coordinated law-enforcement strategy.",establishing,impeding,hampering,launching,obscuring,preventing,impeding,hampering,impede,hamper
209,"Although there is an incredible diversity of microbes across the body of each individual, the fact that specific body sites tend to host a few specific bacteria indicates that the body’s microflora are not _______ distributed.",haphazardly,uniformly,effectively,heterogeneously,functionally,randomly,haphazardly,randomly,haphazard,random
210,"Every illness is a story, and when Annie's began it was characterized by the kinds of _______ details that mean nothing until seen in hindsight.",salient,unexceptional,conspicuous,suggestive,abundant,nondescript,unexceptional,nondescript,unexceptional,nondescript
211,"People’s decisions about childbearing depend on innumerable personal considerations and societal factors, yet even knowing this, demographers are often _______: their projections of birth rates frequently turn out to be embarrassingly at odds with reality.",sanguine,flummoxed,inconsistent,overconfident,heartened,confounded,flummoxed,confounded,flummox,confound
212,"The brain has become, for many people, _______ the biological machinations of the self, and the self-knowledge promised by neuroscience has ignited a hunger to understand how new findings weigh in on age-old questions.",tantamount to,synonymous with,implicated in,divorced from,detached from,subservient to,tantamount to,synonymous with,tantamount,synonymous
213,"Rebecca West’s book Black Lamb and Grey Falcon is a singularly _______ achievement, 1,100 pages that meld the genres of travel narratives, autobiography, historical analysis, and philosophical meditation.",evanescent,petty,polymathic,incongruous,encyclopedic,fleeting,polymathic,encyclopedic,polymathic,encyclopedic
214,"She expected her book to be _______, but in fact few of her readers disagreed with its premise that street art, long considered a mere sideshow entertainment, deserved to be regarded as high art.",controversial,dramatic,impressive,acclaimed,provocative,popular,controversial,provocative,controversial,provocative
215,"Researchers have recorded around 60 separate behaviors for worker honeybees, a number that seems to _______ the achievements of many mammals: even the versatile bottlenose dolphin only performs about twice the number a worker honeybee manages.",approximate,eclipse,reflect,compound,outdo,echo,eclipse,outdo,eclipse,outdo
216,"Despite its best efforts to stimulate sales, the bookselling business remains far from _______, for it has high fixed costs in wages and rent, and falling prices make these ever harder to meet.",effective,healthy,innovative,robust,stingy,parsimonious,healthy,robust,healthy,robust
217,"Because archaeology explores the most profound changes in human history by means of a grossly incomplete record, it has invited the sort of bold, imaginative interpretation in which speculation too easily becomes _______ evidence.",replaced by,constrained by,untethered from,divorced from,substituted for,constricted by,untethered from,divorced from,untethered,divorced
218,"During the eighteenth century, improvements in their material circumstances did not necessarily mean expanded independence for women in elite families and, arguably, the social conventions of gentility _______ more of their time and energy.",provided,justified,demanded,granted,exacted,rationalized,demanded,exacted,demand,exact
219,"For certain economists, “pure” economic theory, that is, economic theory _______ a specific social structure, is impossible, much like a concept of anatomy that investigates no specific species.",attuned to,abstracted from,derived from,divorced from,sensitive to,analyzed in,abstracted from,divorced from,abstract,divorce
220,"Despite the general _______ of Roman archaeological studies toward the major cities and their monuments, archaeology has contributed much to a better understanding of rural developments in Roman territory.",openness,indifference,hostility,animus,bias,orientation,bias,orientation,bias,orientation
221,"Our mass media are much more fascinated by bad ideas or the failure of good ones than by successes: we drown in bad news—tales of how things went wrong—but we have only the most _______ discussion on how they might go right.",incisive,tantalizing,trenchant,cursory,illusory,perfunctory,cursory,perfunctory,cursory,perfunctory
222,"A few decades ago, the idea of animal morality would have been met with _______: however, recent research suggests that animals not only act altruistically but also have the capacity for empathy, forgiveness, trust, and reciprocity.",derision,resentment,dismissal,conviction,ridicule,certainty,derision,ridicule,derision,ridicule
223,"It is not unusual for American education leaders to hold up another nation as a model for school reform: in the mid-nineteenth century, such figures _______ the professionalism and structure of the Prussian school system.",envied,imitated,hailed,augmented,acclaimed,enhanced,hailed,acclaimed,hail,acclaim
224,"In her career as an editor, she pruned and shaped many a writer’s _______ prose into crisp lucidity.",wayward,transparent,errant,urbane,elegant,incisive,wayward,errant,wayward,errant
225,"Philby secretly loathed the host of the party that he was attending, but it seemed _______ to say so publicly.",recondite,tactless,clever,malign,deft,impolitic,tactless,impolitic,tactless,impolitic
226,"In American Indian art, the supposed distinction between modern and traditional was fabricated by critics, and when artists have control over interpretation of their own work, the distinction appears, happily, to have been _______.",eliminated,reinforced,put to rest,intensified,recognized,established,eliminated,put to rest,eliminate,put to rest
227,"What they see in Jiménez is the one candidate capable of decisive leadership, in stark contrast to Diaz, whose term in office has been marred by _______.",defensiveness,corruption,irresolution,vacillation,belligerence,pugnacity,irresolution,vacillation,irresolution,vacillation
228,"The research informing Gregory’s book on vegetarianism in Victorian England appears to be _______, with a great deal of revealing detail on display and more than a third of the text taken up with footnotes.",uneven,excessive,exhaustive,mixed,inconsistent,comprehensive,exhaustive,comprehensive,exhaustive,comprehensive
229,"He was a man of few words, _______ around all but his closest friends.",laconic,garrulous,ascetic,taciturn,tempestuous,ambiguous,laconic,taciturn,laconic,taciturn
230,"As a critic, Nelson is noteworthy for her _______: rather than presenting fully formed pronouncements, she is willing to let us watch as she works out her ideas.",generosity,humility,integrity,modesty,eloquence,rhetoric,humility,modesty,humility,modesty
231,"Although in the mid-1970s nuclear power seemed poised for a still greater role in energy supply, in fact the _______ of its prestige had already begun.",evaluation,waning,defense,undermining,ebbing,vindication,waning,ebbing,wane,ebb
232,"The women’s rights movement has been mostly _______ in the Middle East, but it is likely that activists will be newly galvanized by the political upheavals currently sweeping the region.",subverted,quiescent,interminable,bootless,abeyant,feckless,quiescent,abeyant,quiescent,abeyant
233,"Beatified by the Catholic Church in 1765, Italian cleric Ludovico Sabbatini is _______ each year on the day of his death, June 11.",pledged,evoked,deified,venerated,honored,christened,venerated,honored,venerate,honor
234,"A small degree of _______ is always desirable in a published diary. A sense of authenticity is seldom worth the diarist’s questionable grammar or careless phrasing.",characterization,emendation,documentation,revision,substantiation,individualization,emendation,revision,emendation,revision
235,"In his heyday, Sonny Bono’s role in public was _______: he was an accomplished lyricist, a mayoral success story, a delegate from Palm Springs, and the husband of an internationally acclaimed vocalist.",protean,versatile,pedestrian,prominent,circumscribed,illustrious,protean,versatile,protean,versatile
236,"Criticized for decades of overproduction in their signature line of derivative goods, Rectangle Record has satiated the market with a _______ of repackaged old CDs, which interferes with its ability to innovate and produce new albums.",dearth,glut,deficiency,surfeit,abundance,profusion,glut,surfeit,glut,surfeit
237,"His political view, harking back to the turmoil in 1934, is a _______ with no bearing on the present.",prototype,pretense,paradigm,relic,contradiction,vestige,relic,vestige,relic,vestige
238,"Although most scientists hold that quantum theory and the theory of general relativity ought to be intimately connected, the theories have remained stubbornly _______.",consistent,unlinked,self-contradictory,estranged,arbitrary,congruent,unlinked,estranged,unlinked,estrange
239,"The _______ of biographies of antebellum capitalists is particularly striking in contrast with the abundance of life stories of industrialists in later eras.",brevity,banality,utility,paucity,triteness,dearth,paucity,dearth,paucity,dearth
240,"He was one of the most powerful chess players ever and one of the most _______; at the height of his fame he all but dropped out of chess, entering into a self-imposed exile.",perplexing,creative,troubled,infuriating,enigmatic,imaginative,perplexing,enigmatic,perplexing,enigmatic
241,"Many people remember a time when cutting-edge architects, who are these days treated like celebrities, had _______ relationship with the public: for much of the 1960s, big new buildings in cities were often cause for hostility, not celebration.",an antagonistic,an inimical,an autocratic,a symbiotic,an indifferent,an apathetic,an antagonistic,an inimical,antagonistic,inimical
242,"It is surprising to see such a child that is at his sixteenth manifest a great measure of _______, for he delivers too cogent, brilliant a speech among adults.",maturity,precociousness,convolution,nefariousness,naïveté,ingenuousness,maturity,precociousness,maturity,precociousness
243,"People from one community always take each other as _______ since they automatically classify the others as their family line.",acquaintance,consort,neighborhood,kinfolk,relative,patron,kinfolk,relative,kinfolk,relative
244,"The juxtaposition of fertile alluvial soils originating in the Andes with the infertile inland soils of central Amazon Basin is one example of _______ of the soil conditions that can be found in the tropics.",intractability,heterogeneity,incompatibility,disparateness,instability,fragility,heterogeneity,disparateness,heterogeneity,disparateness
245,"Price knew about how to do people favors, sometimes just from kindness, but often out of _______.",self-interest,benevolence,magnanimity,opportunism,disinterest,mercy,self-interest,opportunism,self-interest,opportunism
246,"Caricature can be revealing as well as amusing, and Ager’s novel is both: Ager’s delineation of class, ethnic, and generational struggle is exaggerated for comical effect, but it _______ nonetheless.",resonates,entertains,diverts,confuses,rings true,falls short,resonates,rings true,resonate,ring true
247,"Although the claim that no one knows what dark matter is remains _______, some scientists dispute the parallel assertion that dark matter has not been detected.",contentious,sound,questionable,unassailable,unverifiable,prominent,sound,unassailable,sound,unassailable
248,"Church, Nussbaum, Waldman, and Wills have written very different books—Nussbaum and Wills range both farther and deeper—but each one of the four strives for _______, wanting to save us from the errors of partisans and zealots.",concision,evenhandedness,frankness,trustworthiness,succinctness,impartiality,evenhandedness,impartiality,evenhandedness,impartiality
249,"Given that the department director was such a feeble contributor, sitting silently at important policy meetings and usually deferring to low-level aides, it was surprising that he had such a reputation for _______.",magnanimity,perspicacity,impartiality,detachment,benevolence,discernment,perspicacity,discernment,perspicacity,discernment
250,"Between the late 1800s and early 1900s, various institutional structures emerged that set researchers in scientific fields apart as a professional class and moderated disputes by _______ some kinds of knowledge as real science.",differing,sanctioning,mischaracterizing,censuring,reprehending,endorsing,sanctioning,endorsing,sanction,endorse
251,"Analysis of the structural features that were thought to _______ kinship between the two species prompted an investigation that dispelled that presumption and revealed that the two share a family history.",signify,underrate,point to,preclude,rule out,exaggerate,preclude,rule out,preclude,rule out
252,"The book captures the _______ of several politicians who spoke publicly of old-time virtues in order to mask private vices.",probity,dissemblance,opportunism,rectitude,ingenuousness,duplicity,dissemblance,duplicity,dissemblance,duplicity
253,"Baker was struck by the amount of _______ she saw at the renowned medical facility; for all their experience, the physicians could not seem to agree on the correct diagnosis for any given patient.",discordance,contention,quackery,nepotism,indecision,cronyism,discordance,contention,discordance,contention
254,"The book reaffirms the idea that Africans on the continent have not stopped _______ or responding to their own creations; in fact, African creative agents have ushered in their own modern forms rooted in traditional ideas.",exposing,detecting,absorbing,noticing,generating,originating,generating,originating,generate,originate
255,"Flash floods are common in desert regions and were widespread before the evolution of trees and woodland soils; in contrast, flash floods are _______ in woodlands, where floodwaters, impeded by trees, form ponds.",overshadowed,redirected,obscured,precluded,mitigated,abated,mitigated,abated,mitigate,abate
256,"Those who read Empson’s correspondence for the first time may be disappointed that so much of it is professional rather than personal, but the distinction in this case is _______: every letter bears the full stamp of Empson’s personality.",unambiguous,artificial,significant,spurious,clear-cut,unique,artificial,spurious,artificial,spurious
257,"Since the data we have analyzed are so _______, it would be hazardous to draw a definite conclusion.",copious,overwhelming,abundant,meager,paltry,uncertain,meager,paltry,meager,paltry
258,"The phrase “bread and circuses” refers to early Roman politicians’ plans to _______ the votes of the poor by handing out cheap food and entertainment.",belie,surmount,secure,control,cherish,earn,secure,earn,secure,earn
259,"They applaud the musicals of the 1930s and 1940s, whose plethora of stars, jokes, dances, dialogue, and general gaiety make today’s offering seem _______ by comparison.",cheerless,vacuous,mirthful,insincere,gloomy,jovial,cheerless,gloomy,cheerless,gloomy
260,"It may not seem like a big deal for produce distributors to mix together soybeans from different farms, but a growing number of buyers are willing to pay a premium for soybeans the _______ of which is known: they like to know exactly where their food came from.",purity,output,heterogeneity,origin,yield,provenance,origin,provenance,origin,provenance
261,"Experiments show that it is shockingly easy to elicit a sense of _______ among a group of strangers: just tell them they’ll be working as a team, and they immediately start working as a team.",dominance,hierarchy,obedience,solidarity,camaraderie,optimism,solidarity,camaraderie,solidarity,camaraderie
262,"Typefaces, in one sense, are just like styles of shoes: they _______ because different people have different tastes and identities and because both creators and users value novelty for its own sake.",bemuse,converge,proliferate,abound,evolve,coincide,proliferate,abound,proliferate,abound
263,"It’s a sign of John Dramani Mahama’s skill as a writer that he is willing to consider his country’s future so _______: his memoir is appealingly honest, given to clear-eyed assessments rather than exaggerated accounts of achievements.",cheerfully,dispassionately,insightfully,evocatively,analytically,blithely,dispassionately,analytically,dispassionate,analytical
264,"The action in Zadie Smith’s novel On Beauty is mediated by an unabashedly _______ narrator who does not hesitate to inform us, as once upon a time the narrators of novels were wont to do, how we behave in general and how society usually works.",knowing,obtrusive,conspicuous,antiquated,mysterious,secretive,obtrusive,conspicuous,obtrusive,conspicuous
265,"Although people often describe the correct trajectory for a thrown or moving object, their efforts to explain that trajectory in terms of physics can reveal _______ understanding of the forces acting on the object.",a naïve,a subtle,a fallacious,an unsophisticated,a nuanced,a fresh,a naïve,an unsophisticated,naïve,unsophisticated
266,"Appearing in the midst of so many equivocal comments, this unambiguous statement, whatever its intrinsic merit, plainly stands out as _______.",anomalous,arcane,irrelevant,superfluous,unusual,esoteric,anomalous,unusual,anomalous,unusual
267,"For decades, Pluto seemed to be the mysteriously _______ planet: it was first thought to be about as large as Earth, but, subsequently, measurements had it smaller and smaller.",morphing,appearing,dwindling,orbiting,contracting,emerging,dwindling,contracting,dwindle,contract
268,"The sociologist argued that criminal behavior is an impermanent condition because it is the result of cyclical forces operating through _______ factors, not the manifestation of deeply rooted personal characteristics.",contingent,alarming,circumstantial,proliferating,unsustainable,intensifying,contingent,circumstantial,contingent,circumstantial
269,"British critics covering African American musicians performing in London in the 1910s had little idea how to distinguish what was authentic African American music from what was _______, but they knew such a distinction existed.",eclectic,genuine,derivative,spurious,legitimate,specious,spurious,specious,spurious,specious
270,"Any antimatter in our part of the universe is necessarily _______ because of the overwhelming preponderance of ordinary matter, by which antimatter is quickly annihilated.",short-lived,nebulous,scarce,concrete,substantial,ephemeral,short-lived,ephemeral,short-lived,ephemeral
271,"The territory’s tradition of simple and low taxes, combined with a comparatively easygoing government, has earned it the _______ of its citizens and is widely seen as a main reason for its stunning rise to prosperity.",opprobrium,vituperation,attention,dismissal,approbation,adulation,approbation,adulation,approbation,adulation
272,"Although the parents do not think highly of the educational system “as a whole”, they fail to treat teachers with _______ equally.",consideration,veneration,lucubration,opprobrium,reverence,disdain,veneration,reverence,veneration,reverence
273,"Economic growth has been identified as a _______ for poor countries to eradicate poverty, but this prescription also triggers great environmental concerns.",panacea,refuge,remedy,heaven,culprit,recipe,panacea,remedy,panacea,remedy
274,"We do not always use words in accordance with their dictionary definitions, for meaning often fluctuates with context: that does not mean, however, that we are completely _______ in how we use language.",rote,unconstrained,irrational,unpredictable,free,methodical,unconstrained,free,unconstrained,free
275,"Today the chair of the task force in charge of revising the psychiatric diagnostic manual is _______ post—people work for years to position themselves as candidates—but in the early 1970s, descriptive psychiatry was a backwater.",a coveted,an arduous,a taxing,a lucrative,an enviable,an influential,a coveted,an enviable,coveted,enviable
276,"The astronomer admits that his interpretation of so-called Population III stars is _______ at present since no one has yet done any real calculations to see if it holds up under closer scrutiny.",spurious,speculative,predictive,conjectural,fabricated,implausible,speculative,conjectural,speculative,conjectural
277,"In the wild, no other mammal _______ individuals from another species: badgers do not tend hares, deer do not nurture baby squirrels, lions do not care for giraffes.",protects,fosters,aids,cajoles,adopts,coaxes,fosters,adopts,foster,adopt
278,"Recent research runs counter to the long-cherished notion that a small drop in body temperature during and after surgery is either _______ or actually protects the patient by slowing metabolism and reducing the body’s demand for blood and oxygen.",beneficial,immaterial,inconsequential,preventive,prophylactic,redundant,immaterial,inconsequential,immaterial,inconsequential
279,"A priori mathematics, according to Galileo, does not _______ the need for observation, but mathematics does allow us to deduce unobservable properties and thus to penetrate further into the structure of nature than observation does.",address,acknowledge,obviate,diminish,displace,appreciate,obviate,displace,obviate,displace
280,"The historian argued that _______ are essential to science, claiming that these inherited and untested beliefs often form the conceptual framework necessary for further research.",hypotheses,mistakes,preconceptions,disagreements,controversies,prejudices,preconceptions,prejudices,preconception,prejudice
281,"Governments are often willing to pay the direct costs of preparing for emergencies that may never happen: they make room in their budgets to prepare for _______ but unlikely events.",plausible,anticipated,dangerous,conceivable,foreseen,unimaginable,plausible,conceivable,plausible,conceivable
282,"Sports stars are often _______ figures, regarded as representative of the city or country for which they compete.",totemic,iconoclastic,protean,idealized,irreverent,emblematic,totemic,emblematic,totemic,emblematic
283,"The writer’s indictment of the critic includes personal _______ such as jibes about his physical girth and style of delivery and is not the better for it.",aspersions,commendations,falsehoods,fantasies,whims,slurs,aspersions,slurs,aspersion,slur
284,"Upon realizing that the indicators of a stressful situation can be extremely _______, the psychologist reconsidered her claim that a reliable way of reducing stress is to recognize stressful situations and then avoid them.",acute,exiguous,persistent,overstated,tenuous,unrelenting,exiguous,tenuous,exiguous,tenuous
285,"Although the employees’ union and company management, entering into contract negotiations, both issued statements encouraging _______, acrimony between the two sides continued unabated.",pertinacity,compromise,patience,civility,comity,steadfastness,civility,comity,civility,comity
286,"As a way of _______ the negative impacts of overdependence on a single export product—crude oil, the Nigerian government passed legislation in 1999 intended to revitalize the moribund solid minerals sector.",assuming,checking,disguising,stemming,downplaying,shouldering,checking,stemming,check,stem
287,"The current _______ of repackaged music under Miles Davis’ name might prompt any reasonable person to conclude that the recording vault has been plundered bare.",glut,revival,hodgepodge,surfeit,modicum,dearth,glut,surfeit,glut,surfeit
288,"People enjoy listening to the governor’s inspiring speeches, and his eloquence lulls his adversaries into underestimating his _______, the tempered steel beneath the sleek suits.",tenacity,resolve,resourcefulness,kindness,compassion,frankness,tenacity,resolve,tenacity,resolve
289,"Ancient cave painters explored every surface, and although they bypassed certain walls that to us seem just as suitable for decoration as ones they chose, the placement of the art apparently wasn’t _______.",inconsequential,capricious,strenuous,undisclosed,arduous,impulsive,capricious,impulsive,capricious,impulsive
290,"The recent exhibition on Dadaism is nothing if not _______, for the visual arts are currently awash in Dadaist gestures and gambits of one variety or another.",sensational,timely,daunting,ill-advised,opportune,misguided,timely,opportune,timely,opportune
291,"Ascorbate readily oxidizes in aerated aqueous solutions, and the pH of such solutions, in part, _______ the rate of oxidation, since the higher the pH, the greater the rate of oxidation.",determines,accelerates,consolidates,governs,compounds,stabilizes,determines,governs,determine,govern
292,"Consuming 25 to 35 percent of their body weight each day, sea otters are not only _______ but highly specialized eaters, organizing themselves into groups that zero in on specific kinds of prey.",prodigious,undiscriminating,fastidious,picky,voracious,omnivorous,prodigious,voracious,prodigious,voracious
293,"Even though the man was reserved in his speech, he thoroughly understood his mother, which made him far from _______ as people usually thought.",comprehensive,ingenuous,sophisticated,foolish,simple,sententious,ingenuous,simple,ingenuous,simple
294,"Mark Messina’s book The Simple Soybean and Your Health exudes recognition much less unrestrained in the description of soy’s medical efficiency than its versatility, but the author cautions against soy being a _______.",cure-all,solitude,efficacy,effectuality,panacea,placebo,cure-all,panacea,cure-all,panacea
295,"Three of the nation’s largest airlines could be operating under bankruptcy protection in coming weeks, analysts say, the latest sign of the industry’s _______ as it lurches through a historic transformation.",upheaval,exorbitance,affluence,peril,convulsion,opulence,upheaval,convulsion,upheaval,convulsion
296,"While the group’s street protests assumed an assertory uncompromising tenor, once admitted to the halls of power to begin formal lobbying, the group’s leadership wisely chose to _______ the stridency of their rhetoric.",metamorphose,gild,wane,palliate,succor,dampen,palliate,dampen,palliate,dampen
297,"His own writing style was _______: colorful and tart in its choice of language, willing to run risks in its allusions, metaphors, and verbal juxtapositions, prone to irreverent conclusions designed to surprise or startle.",effusive,audacious,lyrical,striking,ornate,emotional,audacious,striking,audacious,striking
298,"Debate rages on between proponents of corporal punishment and the death penalty and their detractors, even though the most rabid supporter agrees that punishments must be _______ and the justice system should be evenhanded and thorough.",meet,clement,delimited,condign,tantamount,merciful,meet,condign,meet,condign
299,"In its few decades of existence, the field of technology assessment has undergone large changes: its original high ambitions to predict the consequences of technology have been _______ if not discarded.",deferred,subverted,abandoned,relinquished,tempered,modulated,tempered,modulated,temper,modulate
300,"Individuals interested in longevity have sought to fine-tune their bodies with all kinds of _______ diets: only raw foods; only plants; only the flesh, fruit, and nuts that prehistoric humans would have hunted and foraged.",eccentric,meager,salutary,proscriptive,trendy,exacting,proscriptive,exacting,proscriptive,exacting
301,"The baseball players’ performance during last night’s game was impressive, although not _______; others have performed similar feats.",decisive,unexampled,significant,novel,outstanding,spectacular,unexampled,novel,unexampled,novel
302,"If Wilson’s artistic style changed over time, it was in the wrong retrograde direction, _______ experimentation and inclining toward works that seemed hobbled by a fear of risk.",belaboring,shunning,eschewing,overemphasizing,misconstruing,mocking,shunning,eschewing,shun,eschew
303,"Considering how difficult it is to prove or disprove the existence of life on Mars, which is practically our neighbor, it is quite _______ challenge to do the same for any Earthlike planets that might exist outside our solar system.",a formidable,an impossible,a hopeless,a daunting,an urgent,an immediate,a formidable,a daunting,formidable,daunting
304,"While it’s hard to know for sure, I suspect that the well-known authority’s silence on this contentious topic reflects the cautious _______ of a sensible scientist confronted with mixed data and mountains of speculation.",neutrality,impartiality,optimism,diffidence,commitment,buoyancy,neutrality,impartiality,neutrality,impartiality
305,"Very few companies take the trouble to discover where the wood in their products originates; consumers do not demand this information, and consequently _______ regarding illicit timber has become the norm.",greed,indifference,outrage,timidity,apprehension,apathy,indifference,apathy,indifference,apathy
306,"Until 1992, microprocessor types were identified by number, and for a long time they were considered so _______ that manufacturers would share design specifications for them.",fungible,interchangeable,perishable,integral,inimitable,essential,fungible,interchangeable,fungible,interchangeable
307,"The apparent simplicity of a savanna or a prairie landscape is illusory, but the illusion takes real effort to _______ because much of what actually occurs in these places takes place underground.",dispel,acknowledge,confirm,disavow,dismiss,perceive,dispel,dismiss,dispel,dismiss
308,"Lustig’s critics argue that what makes him a compelling public speaker is his practice of citing evidence that is merely suggestive in support of a claim and insisting that this evidence is _______.",invaluable,irrelevant,indubitable,immaterial,insignificant,incontrovertible,indubitable,incontrovertible,indubitable,incontrovertible
309,"The series of documentaries certainly does not promote the country’s recent diplomatic initiatives; in fact, some of the films appear to be _______ those initiatives.",commendations of,reparations of,tributes to,rationalizations of,denunciations of,indictments of,denunciations of,indictments of,denunciation,indictment
310,"The tribes’ _______ a settled mode of living was derived from their long-standing traditions, which, though differing from one tribal group to another, always included resistance to nomadic lifestyles.",curiosity about,proclivity toward,predilection for,unfamiliarity with,rejection of,disdain for,proclivity toward,predilection for,proclivity,predilection
311,"In politics, tactical calculations about which groups a candidate should appeal to are never pleasant, but they are not always _______, and sometimes they are necessary.",injudicious,sleazy,effective,sordid,useful,exceptional,sleazy,sordid,sleazy,sordid
312,"The spacecraft’s considerable heft forces an unusually _______ route that meanders through the solar system and depends on the gravitational pull of three heavenly bodies.",predetermined,circuitous,indirect,truncated,shortened,sequential,circuitous,indirect,circuitous,indirect
313,"According to some political analysts, the candidate’s occasionally rambling responses to questions suggest that she has been out of circulation for a while and her debating skills need to be _______.",honed,discredited,enhanced,reevaluated,remedied,de-emphasized,honed,enhanced,hone,enhance
314,"Patterson thought the waste leaking into the river was _______ situation: by contrast, judging from their silence on the matter, the owners of the factory felt the problem did not require immediate action.",a lingering,a convoluted,a pressing,an enervating,an exigent,an intricate,a pressing,an exigent,pressing,exigent
315,"Some historians represent the East India Company as _______ participant in political and military conflicts in India, only taking an interest in territorial power as a last-ditch effort to protect its trading activities.",a shrewd,an ineffectual,an irregular,a canny,a reluctant,an unwilling,a reluctant,an unwilling,reluctant,unwilling
316,"Scientists are investigating odors so faint that people cannot _______ them in order to see whether such odors can nevertheless change the way people interact.",tolerate,endure,avoid,dispel,detect,discern,detect,discern,detect,discern
317,"Considering that space travel was science fiction only decades ago, we should be extremely reluctant to proclaim an idea forever technologically infeasible unless that idea _______ some hard physical constraint.",violates,contravenes,overcomes,transcends,utilizes,introduces,violates,contravenes,violate,contravene
318,"The actor’s part in the film turned out to be _______: he had only one line, and by the time the film appeared in theaters, even that line had been removed.",misunderstood,mandatory,intriguing,fascinating,trivial,inessential,trivial,inessential,trivial,inessential
319,"Although _______ to please his audiences, Mozart was, at the same time, fully aware of his musical genius and had no intention of compromising his music.",disposed,loath,disinclined,eager,keen,compelled,disposed,eager,disposed,eager
320,"It is true that science, and more particularly scientists, _______ cherished paradigms with great reluctance and that when they do, scientific revolutions may result.",unify,share,cede,embrace,dismantle,relinquish,cede,relinquish,cede,relinquish
321,"The proposition that foraging Native Americans studied the skies is _______: anthropological evidence demonstrates, for example, that the Chumash Indians counted the lunar cycles and established the times of the solstices.",unquestionable,unremarkable,undeniable,unprecedented,unexceptional,unparalleled,unquestionable,undeniable,unquestionable,undeniable
322,"In the nineteenth century, the circus, for all its glitz and even its glamour, was entertainment with an old soul, _______ the fast-forward pace of change in modern life.",a forerunner of,an antidote to,a respite from,a break from,a precursor to,a rebuke to,an antidote to,a respite from,antidote,respite
323,"Sokari Douglas Camp was _______ in the early 1990s by many of London’s commercially driven art dealers and galleries, some of whom apparently found her themes difficult to market.",criticized,lionized,misrepresented,neglected,forsaken,eulogized,neglected,forsaken,neglect,forsake
324,"It is troubling that blogs, which may be among the least reliable sources of information in human history, occupy such _______.",enviable,conspicuous,suspect,dubious,controversial,prominent,conspicuous,prominent,conspicuous,prominent
325,"Many scholars studying leadership _______ the cult of celebrity that has been fostered both by the media and by politicians’ public relations staffs, arguing that it trivialized politics.",abet,decry,question,analyze,countenance,condemn,decry,condemn,decry,condemn
326,"Experimentation in the arts often generates befuddlement, and even _______ of innovative art generally have voiced perplexity regarding this new, experimental artwork.",proponents,vilifiers,defenders,belittlers,vendors,luminaries,proponents,defenders,proponent,defender
